"","ID","lat","lon","ele","time","magvar","geoidheight","name","cmt","desc","src","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","Proximity","Temperature","Depth","DisplayMode","Samples","Expiration","CreationTime"
"36",36,41.26600002,-119.88344,2005.907104,"2022-05-05T20:02:49Z",NA,NA,"UISCAM3",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-05T20:02:49Z"
"37",37,41.26685003,-119.88488,2155.490967,"2022-05-05T18:51:54Z",NA,NA,"UISCAM4",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-05T18:51:54Z"
"38",38,41.26630998,-119.882765,1998.238037,"2022-08-07T01:14:01Z",NA,NA,"UISCAM7",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-07T01:14:01Z"
"39",39,41.26589801,-119.882421,2002.591675,"2022-08-07T01:27:23Z",NA,NA,"UISCAM9?",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-07T01:27:23Z"
"40",40,41.27825998,-119.89729,NA,"2022-05-05T14:54:18Z",NA,NA,"UISPARK",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-05T14:54:18Z"
"41",41,41.26696603,-119.884433,2005.947144,"2022-08-07T00:57:27Z",NA,NA,"UISTRAPS",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-07T00:57:27Z"
"42",42,41.32710099,-119.872619,1990.018311,"2022-09-18T00:15:50Z",NA,NA,"UNNAMED CAM",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-09-18T00:15:50Z"
"43",43,41.32772896,-119.872653,1988.820801,"2022-09-18T00:27:56Z",NA,NA,"UNNAMED CAM2",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-09-18T00:27:56Z"
"44",1,41.27889398,-119.897153,2153.702393,"2021-09-07T21:40:21Z",NA,NA,"CONTROLSPRING",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2021-09-07T21:40:21Z"
"45",2,41.32870596,-119.873271,1992.500122,"2021-09-07T18:39:09Z",NA,NA,"DIVINESPRING",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2021-09-07T18:39:09Z"
"46",3,41.27781004,-119.893228,2200.116699,"2022-06-05T22:24:21Z",NA,NA,"MAHOG CAM1",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T22:24:21Z"
"47",4,41.27817197,-119.893178,2191.250244,"2022-06-05T22:04:29Z",NA,NA,"MAHOGANYTRI",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T22:04:29Z"
"48",5,41.27836903,-119.893063,2198.088135,"2022-06-05T22:14:20Z",NA,NA,"MAHOGCAM2",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T22:14:20Z"
